date,desc,amount,cat,debit,credit,Balance,Unnamed: 7,Unnamed: 8
30/11/19,Visa Purchase                 28Nov Spotify P0Da4D76F6   Sydney,-11.99,Expense - Subscriptions & Software Licences,11.99,0.0,167.99,,
30/11/19,Foreign Currency Conversn Fee,-0.31,Fees,0.31,0.0,179.98,,
30/11/19,Visa Purchase O/Seas          28Nov Usd7.00 Github,-10.36,Expense - Subscriptions & Software Licences,10.36,0.0,180.29,,
27/11/19,Osko Deposit                  27Nov09:47 Tix Adam Marr,175.0,Personal - Entertainment,0.0,175.0,190.65,,
21/11/19,Visa Purchase                 19Nov Amnesty Internationa Chippenda,-100.0,Donation,100.0,0.0,15.65,,
21/11/19,Visa Purchase                 20Nov Gogetcarshare        130076938,-5.6,Expense - Travel,5.6,0.0,115.65,,
20/11/19,Visa Purchase                 18Nov Rent A Space Moore P Moore Par,-326.5,Expense - Storage,326.5,0.0,121.25,,
18/11/19,Internet Deposit              18Nov11:59 For Mum Storage Pay Tfr,400.0,Account Transfer (In),0.0,400.0,447.75,,
9/11/19,Foreign Currency Conversn Fee,-0.65,Fees,0.65,0.0,47.75,,
9/11/19,Visa Purchase O/Seas          07Nov Usd14.95 Audible Us*Ze1Wr49Q3,-21.79,Expense - Subscriptions & Software Licences,21.79,0.0,48.4,,
2/11/19,Visa Purchase                 31Oct Paypal *Sam Harris   402935773,-6.08,Expense - Subscriptions & Software Licences,6.08,0.0,70.19,,
2/11/19,Cardless Atm Withdrawal       02Nov11:10 Westpac               Redfern      2  Au,-50.0,Personal - Cash Out,50.0,0.0,76.27,,
1/11/19,Visa Purchase                 31Oct Cancer Council Nsw   Woolloomo,-30.0,Donation,30.0,0.0,126.27,,
30/10/19,Visa Purchase                 28Oct Spotify P0D4A471Be   Sydney,-11.99,Expense - Subscriptions & Software Licences,11.99,0.0,156.27,,
30/10/19,Foreign Currency Conversn Fee,-0.3,Fees,0.3,0.0,168.26,,
30/10/19,Visa Purchase O/Seas          28Oct Usd7.00 Github,-10.29,Expense - Subscriptions & Software Licences,10.29,0.0,168.56,,
24/10/19,Visa Purchase                 22Oct Paypal *Linkedin     402935773,-39.99,Expense - Subscriptions & Software Licences,39.99,0.0,178.85,,
24/10/19,Visa Purchase                 21Oct Msft *<E07009G5Sp>   Msbill.In,-22.77,Expense - Subscriptions & Software Licences,22.77,0.0,218.84,,
24/10/19,Visa Purchase                 19Oct Uber Trip Help.Uber. Sydney,-12.2,Expense - Travel - Taxis,12.2,0.0,241.61,,
22/10/19,Visa Purchase                 20Oct Paypal *Netflix.Com  402-935-7,-19.84,Expense - Subscriptions & Software Licences,19.84,0.0,253.81,,
21/10/19,Osko Withdrawal               21Oct11:43 Ben Marr Ben Marr Design,-20.0,Personal - Entertainment,20.0,0.0,273.65,,
19/10/19,Visa Purchase                 17Oct Amnesty Internationa Chippenda,-100.0,Donation,100.0,0.0,293.65,,
18/10/19,Visa Purchase                 16Oct Sq *Broadway         Ultimo,-45.0,Expense - Office Supplies,45.0,0.0,393.65,,
17/10/19,Foreign Currency Conversn Fee,-0.66,Fees,0.66,0.0,438.65,,
17/10/19,Visa Purchase O/Seas          15Oct Usd14.95 Audible Us*Hl5Iy7773,-22.18,Expense - Subscriptions & Software Licences,22.18,0.0,439.31,,
16/10/19,Visa Credit                   14Oct Audible Australia    Melbourne,16.45,Expense - Subscriptions & Software Licences,0.0,16.45,461.49,,
16/10/19,Visa Credit                   14Oct Audible Australia    Melbourne,16.45,Expense - Subscriptions & Software Licences,0.0,16.45,445.04,,
16/10/19,Visa Credit                   14Oct Audible Australia    Melbourne,16.45,Expense - Subscriptions & Software Licences,0.0,16.45,428.59,,
16/10/19,Visa Credit                   00 Audible Australia    Melbourne,16.45,Expense - Subscriptions & Software Licences,0.0,16.45,412.14,,
16/10/19,Visa Credit                   14Oct Audible Australia    Melbourne,16.45,Expense - Subscriptions & Software Licences,0.0,16.45,395.69,,
16/10/19,Visa Credit                   14Oct Audible Australia    Melbourne,16.45,Expense - Subscriptions & Software Licences,0.0,16.45,379.24,,
16/10/19,Visa Credit                   14Oct Audible Australia    Melbourne,16.45,Expense - Subscriptions & Software Licences,0.0,16.45,362.79,,
16/10/19,Visa Credit                   14Oct Audible Australia    Melbourne,16.45,Expense - Subscriptions & Software Licences,0.0,16.45,346.34,,
16/10/19,Visa Credit                   14Oct Audible Australia    Melbourne,16.45,Expense - Subscriptions & Software Licences,0.0,16.45,329.89,,
16/10/19,Visa Credit                   14Oct Audible Australia    Melbourne,16.45,Expense - Subscriptions & Software Licences,0.0,16.45,313.44,,
15/10/19,Visa Purchase                 13Oct Rent A Space Moore P Moore Par,-326.5,Expense - Storage,326.5,0.0,296.99,,
15/10/19,Visa Purchase                 13Oct Gogetcarshare        130076938,-13.65,Expense - Travel,13.65,0.0,623.49,,
15/10/19,Visa Purchase                 13Oct Gogetcarshare        130076938,-13.65,Expense - Travel,13.65,0.0,637.14,,
15/10/19,Johnson Welcome,200.0,Expense - Greenups,0.0,200.0,650.79,,
12/10/19,Cardless Atm Withdrawal       12Oct11:35 Westpac               Redfern      2  Au,-50.0,Personal - Cash Out,50.0,0.0,450.79,,
12/10/19,Internet Deposit              12Oct11:35 Curtain Hosking Plc.,500.0,Account Transfer (In),0.0,500.0,500.79,,
9/10/19,Visa Purchase                 07Oct Audible Australia    Melbourne,-16.45,Expense - Subscriptions & Software Licences,16.45,0.0,0.79,,
5/10/19,Visa Purchase                 03Oct Smp*Kennys Pork Roll Darlinghu,-11.51,Personal - Lunch,11.51,0.0,17.24,,
4/10/19,Visa Purchase                 02Oct S & T Parklands      Sydney,-43.8,Personal - Family,43.8,0.0,28.75,,
3/10/19,Visa Purchase                 02Oct Woolworths      1474 Redfern,-32.47,Personal - Groceries,32.47,0.0,72.55,,
3/10/19,Eftpos Debit                  03Oct09:52 Fountain Cafe         Alexandria   Nswau,-17.0,Expense - Office Supplies,17.0,0.0,105.02,,
2/10/19,Visa Purchase                 01Oct Phohanoi Viet Noodle Rooty Hil,-8.75,Personal - Lunch,8.75,0.0,122.02,,
2/10/19,Visa Purchase                 30Sep Paypal *Sam Harris   402935773,-6.18,Expense - Subscriptions & Software Licences,6.18,0.0,130.77,,
1/10/19,Visa Purchase                 30Sep Cancer Council Nsw   Woolloomo,-30.0,Donation,30.0,0.0,136.95,,
1/10/19,Visa Purchase                 28Sep Spotify P0Cecd34Ab   Sydney,-11.99,Expense - Subscriptions & Software Licences,11.99,0.0,166.95,,
1/10/19,Foreign Currency Conversn Fee,-0.31,Fees,0.31,0.0,178.94,,
1/10/19,Visa Purchase O/Seas          28Sep Usd7.00 Github,-10.38,Expense - Subscriptions & Software Licences,10.38,0.0,179.25,,
30/9/19,Credit Interest,0.01,Fees,0.0,0.01,189.63,,
24/9/19,Visa Purchase                 22Sep Paypal *Linkedin     402935773,-39.99,Expense - Subscriptions & Software Licences,39.99,0.0,189.62,,
24/9/19,Visa Purchase                 20Sep Msft *<E070097W6R>   Msbill.In,-22.77,Expense - Subscriptions & Software Licences,22.77,0.0,229.61,,
24/9/19,Visa Purchase                 20Sep Uber   *Trip         Help.Uber,-11.34,Expense - Travel - Taxis,11.34,0.0,252.38,,
23/9/19,Visa Purchase                 20Sep Paypal *Netflix.Com  402-935-7,-19.95,Expense - Subscriptions & Software Licences,19.95,0.0,263.72,,
21/9/19,Visa Purchase                 19Sep Amnesty Internationa Chippenda,-100.0,Donation,100.0,0.0,283.67,,
19/9/19,Camilla Jackett Beats Headphones,250.0,Personal,0.0,250.0,383.67,,
14/9/19,Cardless Atm Withdrawal       14Sep11:09 Westpac               Redfern      2  Au,-100.0,Personal - Cash Out,100.0,0.0,133.67,,
